,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score
2596,Armored Core 2,PS2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78.0,84.0,0.14744801512287334,72.22,87.8,53.389149338374295
2598,The Godfather II,X360,2009,Action,Electronic Arts,0.47,0.23,0.01,0.08,0.79,65.0,69.0,0.023809523809523808,60.76,71.43,44.07126984126984
2599,Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.42,0.23,0.07,0.06,0.79,75.0,78.0,0.05660377358490566,73.91,80.28,51.41553459119498
2600,Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87.0,71.0,0.0911214953271028,88.31,71.79,53.39704049844237
2603,Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79,84.0,77.0,0.0911214953271028,84.42,79.49,54.66704049844236
2604,Band Hero,X360,2009,Misc,Activision,0.51,0.21,0.0,0.07,0.79,76.0,50.0,0.023809523809523808,74.68,48.81,41.17126984126984
2605,NCAA Football 08,PS2,2007,Sports,Electronic Arts,0.65,0.03,0.0,0.11,0.79,83.0,83.0,0.03437637725870428,82.05,88.51,56.8647921257529
2606,FIFA Soccer 2004,XB,2003,Sports,Electronic Arts,0.24,0.49,0.0,0.05,0.79,82.0,82.0,0.10848400556328233,83.1,82.72,55.3094946685211
2607,The Sims 2: Castaway,PSP,2007,Simulation,Electronic Arts,0.08,0.46,0.0,0.25,0.79,64.0,73.0,0.03437637725870428,57.69,77.01,44.91145879241957
2608,Star Ocean: The Last Hope,X360,2009,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79,72.0,72.0,0.023809523809523808,69.62,75.0,48.21460317460318
2609,Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.27,0.34,0.04,0.13,0.79,53.0,60.0,0.05298913043478261,42.67,63.16,35.29432971014493
2610,Invizimals,PSP,2009,Strategy,Sony Computer Entertainment,0.17,0.5,0.0,0.11,0.79,69.0,73.0,0.023809523809523808,65.82,76.19,47.34460317460317
2613,WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,31.0,0.061111111111111116,40.85,22.08,20.997037037037035
2614,Too Human,X360,2008,Role-Playing,Microsoft Game Studios,0.38,0.29,0.03,0.08,0.78,65.0,70.0,0.021684032666854404,56.0,73.17,43.063894677555616
2616,Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts,0.42,0.25,0.0,0.11,0.78,81.0,77.0,0.0235042735042735,81.01,80.95,53.99450142450143
2619,Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,Ubisoft,0.67,0.04,0.01,0.06,0.78,85.0,81.0,0.009331071255453224,84.51,84.81,56.44311035708515
2621,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,Namco Bandai Games,0.43,0.27,0.01,0.07,0.78,74.0,85.0,0.035321100917431195,67.61,93.02,53.55510703363914
2622,Golden Sun: Dark Dawn,DS,2010,Role-Playing,Nintendo,0.51,0.09,0.13,0.05,0.78,79.0,81.0,0.035321100917431195,74.65,88.37,54.35177370030581
2623,Fight Night Champion,X360,2011,Fighting,Electronic Arts,0.4,0.31,0.0,0.07,0.78,86.0,74.0,0.05230978260869565,86.67,81.58,56.10076992753623
2625,Dead Island: Riptide,X360,2013,Action,Deep Silver,0.44,0.26,0.01,0.07,0.78,57.0,63.0,0.03661436043747029,52.38,64.63,39.01553812014583
2628,Star Wars The Clone Wars: Jedi Alliance,DS,2008,Action,LucasArts,0.61,0.11,0.0,0.06,0.78,68.0,78.0,0.021684032666854404,60.0,82.93,47.65056134422229
2629,The World Ends With You,DS,2007,Role-Playing,Square Enix,0.49,0.04,0.21,0.04,0.78,88.0,89.0,0.033935654473336276,88.46,95.4,61.29797855149112
2630,Drawn to Life,DS,2007,Action,THQ,0.71,0.01,0.0,0.06,0.78,73.0,82.0,0.033935654473336276,69.23,87.36,52.20797855149112
2631,Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.09,0.78,85.0,77.0,0.021684032666854404,82.67,81.71,54.80056134422228
2632,NBA 2K7,PS2,2006,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78,81.0,84.0,0.009331071255453224,78.87,88.61,55.829777023751824
2635,James Bond 007: Nightfire,GC,2002,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78,80.0,86.0,0.04770755885997523,78.21,88.46,55.57256918628665
2637,Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,0.33,0.33,0.0,0.12,0.78,72.0,63.0,0.05230978260869565,68.0,67.11,45.05410326086957
2639,Rayman Origins,X360,2011,Platform,Ubisoft,0.38,0.32,0.0,0.08,0.78,87.0,82.0,0.05230978260869565,88.0,92.11,60.05410326086957
2641,Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48.0,38.0,0.036138849262957684,41.67,34.15,25.285379616420983
2642,Lips,X360,2008,Misc,Microsoft Game Studios,0.12,0.56,0.0,0.1,0.77,71.0,74.0,0.021402421852999152,64.0,78.05,47.35713414061767
2646,MadWorld,Wii,2009,Action,Sega,0.45,0.23,0.02,0.07,0.77,81.0,86.0,0.023199023199023196,81.01,91.67,57.56773300773301
2647,Need for Speed: ProStreet,PSP,2008,Racing,Electronic Arts,0.24,0.33,0.01,0.19,0.77,57.0,71.0,0.021402421852999152,45.33,74.39,39.91380080728433
2648,Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77,81.0,73.0,0.032758620689655175,77.94,76.4,51.45758620689654
2649,Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,Electronic Arts,0.64,0.02,0.0,0.1,0.77,53.0,63.0,0.032758620689655175,36.76,65.17,33.98758620689655
2651,Need for Speed: Porsche Unleashed,PS,1999,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,78.0,85.0,0.0791974656810982,63.64,70.97,44.89639915522704
2654,Resident Evil: Operation Raccoon City,X360,2012,Action,Capcom,0.55,0.14,0.03,0.06,0.77,52.0,49.0,0.055152394775036286,40.58,39.44,26.69171746492501
2655,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.53,0.18,0.0,0.06,0.77,70.0,65.0,0.051630434782608696,65.33,69.74,45.04054347826087
2657,Worms: Open Warfare,PSP,2006,Strategy,THQ,0.11,0.43,0.0,0.23,0.77,70.0,66.0,0.009209888511875909,63.38,65.82,43.06973662950396
2661,Star Wars Episode II: Attack of the Clones,GBA,2002,Action,THQ,0.55,0.2,0.0,0.01,0.77,38.0,50.0,0.04708798017348204,24.36,42.31,22.239029326724495
2662,Ghost Squad,Wii,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.77,69.0,75.0,0.03349493168796827,64.1,79.31,47.81449831056265
2664,Maximo: Ghosts to Glory,PS2,2001,Platform,Capcom,0.38,0.29,0.0,0.1,0.77,84.0,87.0,0.05076820307281229,81.69,90.0,57.246922734357604
2665,Donkey Kong Country 3,GBA,2005,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77,77.0,84.0,0.032758620689655175,72.06,88.76,53.617586206896554
2666,All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77,81.0,84.0,0.04708798017348204,79.49,85.9,55.145695993391165
2667,Unlimited Saga,PS2,2002,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77,45.0,30.0,0.04708798017348204,33.33,16.67,16.682362660057827
2668,Pokemon Dash,DS,2004,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77,46.0,59.0,0.03653846153846154,26.47,52.0,26.168846153846157
2669,Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77,57.0,72.0,0.023199023199023196,50.63,75.0,41.884399674399674
2670,Twisted Metal: Head On,PSP,2005,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77,79.0,82.0,0.032758620689655175,75.0,86.52,53.85091954022988
2672,Sonic Unleashed,PS2,2008,Platform,Sega,0.37,0.04,0.0,0.36,0.76,66.0,67.0,0.0211208110391439,57.33,69.51,42.28704027034638
2679,Driv3r,XB,2004,Racing,Atari,0.36,0.38,0.0,0.03,0.76,56.0,47.0,0.03605769230769231,41.18,36.0,25.738685897435897
2684,ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76,94.0,87.0,0.10364145658263305,95.74,81.08,58.97454715219421
2685,Need For Speed: Undercover,PSP,2008,Racing,Electronic Arts,0.23,0.31,0.03,0.19,0.76,52.0,68.0,0.0211208110391439,38.67,70.73,36.47370693701305
2686,Metroid Prime Hunters,DS,2006,Shooter,Nintendo,0.57,0.04,0.11,0.06,0.76,85.0,80.0,0.009088705768298594,84.51,83.54,56.019696235256106
2687,Bayonetta 2,WiiU,2014,Action,Nintendo,0.32,0.28,0.1,0.06,0.76,91.0,82.0,0.05952380952380953,91.55,88.31,59.973174603174606
2688,Star Wars Battlefront: Elite Squadron,PSP,2009,Shooter,LucasArts,0.38,0.23,0.0,0.15,0.76,63.0,80.0,0.02289377289377289,58.23,84.52,47.590964590964596
2695,Syphon Filter: The Omega Strain,PS2,2004,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76,65.0,69.0,0.03605769230769231,54.41,65.33,39.92535256410256
2697,The Sims 3,3DS,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,52.0,33.0,0.050951086956521736,41.33,27.63,23.00365036231884
2698,Mortal Kombat: Deception,XB,2004,Fighting,Midway Games,0.61,0.12,0.0,0.03,0.76,81.0,88.0,0.03605769230769231,77.94,90.67,56.21535256410257
2699,That's So Raven,GBA,2004,Adventure,Disney Interactive Studios,0.54,0.2,0.0,0.01,0.76,39.0,76.0,0.03605769230769231,16.18,74.67,30.29535256410257
2700,DJ Hero,Wii,2009,Misc,Activision,0.45,0.23,0.0,0.07,0.76,87.0,76.0,0.02289377289377289,88.61,79.76,56.130964590964595
2703,Portal 2,PC,2011,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76,95.0,88.0,0.050951086956521736,98.67,100.0,66.2403170289855
2704,Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.76,51.0,49.0,0.050951086956521736,40.0,48.68,29.576983695652174
2705,Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,0.52,0.18,0.0,0.06,0.76,71.0,78.0,0.034403669724770644,63.38,84.88,49.431467889908255
2712,Harry Potter and the Half-Blood Prince,Wii,2009,Action,Electronic Arts,0.28,0.39,0.0,0.08,0.75,60.0,60.0,0.022588522588522585,54.43,60.71,38.38752950752951
2713,Wall-E,PS2,2008,Platform,THQ,0.21,0.0,0.0,0.54,0.75,67.0,84.0,0.020839200225288648,58.67,90.24,49.64361306674176
2714,Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,0.0,0.48,0.25,0.03,0.75,81.0,79.0,0.035187826913932484,80.95,84.15,55.04506260897131
2716,Mega Man X5,PS,2000,Platform,Capcom,0.3,0.21,0.2,0.05,0.75,76.0,89.0,0.13988657844990549,69.44,93.9,54.49329552614997
2718,Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89.0,84.0,0.09762532981530343,93.55,94.12,62.589208443271765
2719,Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.37,0.06,0.14,0.75,55.0,58.0,0.00896752302472128,42.25,55.7,32.65298917434158
2720,Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75,95.0,73.0,0.08644859813084112,98.7,74.36,57.71548286604362
2721,Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.28,0.38,0.0,0.08,0.75,81.0,78.0,0.00896752302472128,78.87,81.01,53.296322507674915
2722,Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ,0.28,0.39,0.0,0.08,0.75,58.0,60.0,0.022588522588522585,51.9,60.71,37.54419617419617
2723,PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.26,0.19,0.27,0.04,0.75,60.0,70.0,0.05027173913043478,52.0,76.32,42.790090579710146
2724,DJ Hero 2,PS3,2010,Misc,Activision,0.47,0.19,0.0,0.1,0.75,86.0,78.0,0.03394495412844037,84.51,84.88,56.47464831804282
2725,WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ,0.41,0.2,0.0,0.14,0.75,72.0,60.0,0.020839200225288648,65.33,60.98,42.110279733408426
2726,LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0.0,0.06,0.75,72.0,52.0,0.05370101596516691,69.57,43.66,37.761233671988386
2727,SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.35,0.23,0.07,0.09,0.75,81.0,67.0,0.05370101596516691,82.61,64.79,49.15123367198839
2728,Shark Tale,PS2,2004,Action,Activision,0.37,0.29,0.0,0.1,0.75,69.0,65.0,0.03557692307692308,60.29,60.0,40.10852564102564
2730,Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75,78.0,74.0,0.049432197728790914,73.24,71.43,48.23981073257627
2734,Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82.0,72.0,0.05873015873015873,78.87,75.32,51.41624338624339
2735,Tony Hawk's Underground 2,XB,2004,Sports,Activision,0.48,0.24,0.0,0.03,0.75,83.0,78.0,0.03557692307692308,80.88,77.33,52.74852564102563
2736,Madden NFL 06,PSP,2005,Sports,Electronic Arts,0.69,0.0,0.0,0.06,0.75,75.0,79.0,0.03189655172413793,69.12,83.15,50.76729885057472
2738,Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.21,0.46,0.0,0.08,0.75,62.0,76.0,0.03394495412844037,50.7,82.56,44.43131498470948
2739,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75,81.0,79.0,0.049432197728790914,77.46,78.57,52.02647739924293
2740,MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,0.62,0.02,0.0,0.1,0.75,76.0,90.0,0.00896752302472128,71.83,96.2,56.01298917434158
2741,Turok,X360,2008,Action,Touchstone,0.46,0.2,0.01,0.07,0.75,69.0,71.0,0.020839200225288648,61.33,74.39,45.246946400075096
2743,Coded Arms,PSP,2005,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.17,0.75,59.0,65.0,0.03189655172413793,45.59,67.42,37.680632183908045
2744,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.38,0.03,0.3,0.04,0.75,80.0,69.0,0.03261348611723226,78.21,72.41,50.21753782870574
2747,The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts,0.38,0.25,0.0,0.11,0.74,54.0,71.0,0.02228327228327228,46.84,73.81,40.224094424094424
2748,Band Hero,PS3,2009,Misc,Activision,0.41,0.23,0.0,0.11,0.74,76.0,57.0,0.02228327228327228,74.68,57.14,43.94742775742776
2749,Burnout,PS2,2001,Racing,Acclaim Entertainment,0.36,0.28,0.0,0.1,0.74,79.0,77.0,0.04876419505678022,74.65,75.71,50.1362547316856
2750,Spectrobes,DS,2007,Role-Playing,Disney Interactive Studios,0.66,0.02,0.0,0.06,0.74,63.0,79.0,0.03217276333186426,56.41,83.91,46.78405758777728
2753,The Godfather II,PS3,2009,Action,Electronic Arts,0.41,0.21,0.01,0.1,0.74,67.0,72.0,0.02228327228327228,63.29,75.0,46.10409442409443
2754,Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74,70.0,88.0,0.008846340281143965,63.38,93.67,52.35294878009372
2755,Need for Speed: Shift,PSP,2009,Racing,Electronic Arts,0.16,0.37,0.01,0.21,0.74,69.0,65.0,0.02228327228327228,65.82,66.67,44.17076109076109
2756,Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91.0,79.0,0.05793650793650794,91.55,84.42,58.67597883597883
2758,Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74,80.0,74.0,0.049592391304347824,78.67,81.58,53.43319746376812
2760,[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0.0,0.1,0.74,79.0,68.0,0.052975326560232225,79.71,66.2,48.65432510885341
2761,Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74,84.0,74.0,0.03146551724137931,82.35,77.53,53.303821839080456
2762,Resident Evil: Revelations,PS3,2013,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74.0,72.0,0.03471231573941988,72.62,75.61,49.42157077191314
2763,Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,0.42,0.19,0.0,0.13,0.74,60.0,71.0,0.03217276333186426,52.56,74.71,42.43405758777729
2767,Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.33,0.27,0.02,0.12,0.74,85.0,81.0,0.02228327228327228,86.08,85.71,57.270761090761084
2770,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,67.0,0.049592391304347824,74.67,72.37,49.02986413043478
2772,Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0.0,0.03,0.74,83.0,82.0,0.04522924411400248,82.05,83.33,55.14174308137134
2775,Crysis 2,PC,2011,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,86.0,68.0,0.049592391304347824,86.67,73.68,53.46653079710145
2776,Tales of Vesperia,X360,2008,Role-Playing,Atari,0.32,0.17,0.19,0.05,0.74,79.0,82.0,0.020557589411433395,74.67,87.8,54.163519196470475
2777,MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,87.0,78.0,0.03471231573941988,88.1,82.93,57.02157077191314
2778,LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82.0,80.0,0.03471231573941988,82.14,85.37,55.848237438579815
2779,Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0.0,0.0,0.05,0.74,49.0,63.0,0.03217276333186426,38.46,65.52,34.670724254443954
2781,Sword of Mana,GBA,2003,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72.0,83.0,0.10152990264255911,69.01,83.95,51.020509967547525
2783,Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.15,0.0,0.09,0.73,74.0,73.0,0.021978021978021973,72.15,76.19,49.45399267399267
2784,Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,59.0,0.05714285714285714,83.1,58.44,47.19904761904761
2785,Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,72.0,80.0,0.03302752293577982,64.79,87.21,50.677675840978594
2787,Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.73,55.0,69.0,0.031732040546496254,46.15,72.41,39.53057734684883
2792,Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.37,0.0,0.14,0.73,79.0,66.0,0.031732040546496254,76.92,68.97,48.64057734684883
2793,Classic NES Series: Donkey Kong,GBA,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55.0,48.0,0.03461538461538462,39.71,37.33,25.69153846153846
2794,Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,76.0,89.0,0.020275978597578143,70.67,96.34,55.67675865953253
2798,WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ,0.49,0.17,0.0,0.06,0.73,78.0,77.0,0.021978021978021973,77.22,80.95,52.730659340659344
2799,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76.0,80.0,0.05224963715529753,75.36,83.1,52.83741654571843
2801,Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73,79.0,63.0,0.048913043478260865,77.33,67.11,48.16297101449275
2803,Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,0.54,0.16,0.0,0.03,0.73,80.0,87.0,0.04809619238476954,76.06,90.0,55.36936539746159
2804,Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86.0,77.0,0.05224963715529753,89.86,78.87,56.260749879051765
2806,Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,72.0,58.0,0.048913043478260865,68.0,60.53,42.85963768115943
2807,NHL 11,X360,2010,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,88.0,77.0,0.03302752293577982,87.32,83.72,57.02434250764526
2808,NCAA Football 07,X360,2006,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,79.0,69.0,0.00872515753756665,76.06,69.62,48.562908385845866
2810,Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,84.0,87.0,0.03461538461538462,82.35,89.33,57.238205128205124
2811,LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73,71.0,70.0,0.09498680738786279,64.52,73.53,46.04832893579595
2812,Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86.0,90.0,0.03461538461538462,85.29,93.33,59.55153846153846
2813,Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.38,0.29,0.0,0.06,0.73,75.0,66.0,0.05714285714285714,69.01,67.53,45.532380952380954
2815,LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,80.0,71.0,0.08411214953271028,79.22,71.79,50.36470404984424
2816,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74.0,71.0,0.05224963715529753,72.46,70.42,47.64408321238509
2817,Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,64.0,87.0,0.04809619238476954,53.52,90.0,47.85603206412825
2818,James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,74.0,68.0,0.043990086741016114,70.51,65.38,45.311330028913666
2819,Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.43,0.01,0.25,0.04,0.72,65.0,70.0,0.03129131776112825,58.97,73.56,44.18709710592037
2820,Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,73.0,75.0,0.030603448275862068,66.18,78.65,48.286867816091956
2821,Ultimate Spider-Man,PS2,2005,Action,Activision,0.6,0.02,0.0,0.1,0.72,74.0,79.0,0.030603448275862068,67.65,83.15,50.276867816091965
2822,Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.23,0.42,0.0,0.08,0.72,65.0,52.0,0.03256880733944954,54.93,54.65,36.53752293577981
2829,Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,42.0,0.03376129339039468,75.0,39.02,38.017920431130136
2830,NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,66.0,0.03129131776112825,62.82,68.97,43.94043043925371
2831,Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,74.0,67.0,0.03256880733944954,67.61,72.09,46.57752293577982
2832,Dead to Rights,XB,2002,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,73.0,89.0,0.043990086741016114,69.23,92.31,53.86133002891368
2833,Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.29,0.0,0.07,0.72,55.0,70.0,0.02167277167277167,48.1,72.62,40.247224257224254
2834,Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,79.0,60.0,0.008603974793989336,76.06,58.23,44.76620132493133
2837,Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0.0,0.0,0.06,0.72,79.0,71.0,0.03129131776112825,76.92,74.71,50.55376377258705
2839,Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83.0,81.0,0.05634920634920635,80.28,87.01,55.7821164021164
2840,MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,77.0,0.05634920634920635,80.28,81.82,54.052116402116404
2841,X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,72.0,84.0,0.04742818971275885,64.79,85.71,50.182476063237594
2842,Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.36,0.0,0.32,0.03,0.72,86.0,82.0,0.030603448275862068,85.29,86.52,57.280201149425295
2845,Madden NFL 10,Wii,2009,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,77.0,72.0,0.02167277167277167,75.95,75.0,50.32389092389093
2846,MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,90.0,81.0,0.02167277167277167,92.41,85.71,59.38055759055758
2847,Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74.0,64.0,0.05634920634920635,67.61,64.94,44.202116402116395
2850,Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72,82.0,86.0,0.043990086741016114,80.77,88.46,56.424663362247
2851,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,93.0,0.08294392523364486,96.1,100.0,65.39431464174454
2852,F1 2011,X360,2011,Racing,Codemasters,0.11,0.5,0.01,0.09,0.72,84.0,71.0,0.048233695652173905,84.0,77.63,53.89274456521739
2853,Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,66.0,85.0,0.09874826147426981,60.56,86.42,49.02624942049143
2854,MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,91.0,83.0,0.03256880733944954,91.55,90.7,60.76085626911314
2855,MX vs. ATV Reflex,X360,2009,Racing,THQ,0.52,0.14,0.0,0.06,0.72,75.0,66.0,0.02167277167277167,73.42,67.86,47.10055759055759
2856,Blur,PS3,2010,Racing,Activision,0.22,0.36,0.02,0.12,0.72,81.0,82.0,0.03256880733944954,77.46,89.53,55.67418960244648
2859,Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,87.0,83.0,0.03256880733944954,85.92,90.7,58.884189602446476
2860,DiRT 3,X360,2011,Racing,Codemasters,0.23,0.4,0.01,0.08,0.72,87.0,71.0,0.048233695652173905,88.0,77.63,55.22607789855073
